@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,11,14,16,19'

@attribute Gender {Women,Men}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Stock_Availability {Medium,High,Low}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Men,Summer,UPI,New,High,Small,High,Medium,Moderate,Average,Medium,'High Sales'
Women,Summer,'Net Banking',Returning,Medium,Moderate,Low,Low,Moderate,Excellent,Medium,'High Sales'
Women,Summer,Card,New,Low,Large,'Very Low',Medium,Moderate,Average,Low,'High Sales'
Men,All-Season,UPI,New,Medium,Small,High,Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,Cash,New,Medium,Large,High,Low,Infrequent,Excellent,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Large,'Very Low',Low,Moderate,Poor,Medium,'High Sales'
Women,Summer,Card,New,Medium,Moderate,'Very Low',Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,UPI,Returning,High,Large,Medium,Medium,Infrequent,Excellent,High,'High Sales'
Women,Winter,Cash,New,Medium,Small,High,Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Small,Low,High,Frequent,Poor,Medium,'High Sales'
Women,All-Season,Card,Returning,Medium,Small,Low,High,Moderate,Average,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,High,Moderate,'Very Low',High,Moderate,Excellent,High,'High Sales'
Men,Winter,Card,New,Medium,Moderate,'Very Low',Medium,Frequent,Average,Medium,'High Sales'
Women,Summer,Card,New,Medium,Moderate,Low,Medium,Moderate,Average,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Moderate,Low,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Moderate,'Very Low',Medium,Infrequent,Average,Medium,'High Sales'
Women,All-Season,Card,Returning,Low,Moderate,High,Low,Moderate,Excellent,Low,'High Sales'
Women,Winter,'Net Banking',Returning,Medium,Large,Low,Low,Frequent,Poor,Medium,'High Sales'
Women,Summer,Card,Returning,Medium,Moderate,Low,Medium,Moderate,Poor,Medium,'High Sales'
Women,All-Season,'Net Banking',Returning,Medium,Small,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,'Net Banking',Returning,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Small,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Card,Returning,Medium,Small,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,'Net Banking',Returning,Medium,Moderate,'Very Low',Low,Moderate,Average,Medium,'High Sales'
Men,Summer,Card,New,Medium,Moderate,'Very Low',Medium,Infrequent,Excellent,Medium,'High Sales'
Men,Winter,Card,New,Medium,Moderate,High,High,Moderate,Average,Medium,'High Sales'
Men,All-Season,'Net Banking',New,Medium,Moderate,Low,Low,Moderate,Poor,Medium,'High Sales'
Men,Summer,UPI,Returning,Medium,Moderate,High,High,Moderate,Average,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Moderate,Low,High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Moderate,Medium,Low,Infrequent,Excellent,High,'High Sales'
Men,All-Season,Cash,Returning,Low,Moderate,'Very Low',Low,Moderate,Average,Low,'High Sales'
Men,All-Season,Card,Returning,Medium,Large,Medium,High,Moderate,Average,Medium,'High Sales'
Women,Winter,UPI,New,Medium,Moderate,High,Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Low,'High Sales'
Women,All-Season,UPI,New,Medium,Moderate,High,High,Infrequent,Average,Low,'High Sales'
Men,All-Season,Card,Returning,High,Large,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,Returning,Medium,Large,High,High,Moderate,Excellent,Medium,'High Sales'
Men,Summer,Cash,New,Medium,Moderate,High,Medium,Infrequent,Poor,Medium,'High Sales'
Women,Winter,Cash,Returning,Medium,Large,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,Winter,UPI,New,Medium,Small,Low,Low,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,'Net Banking',Returning,Medium,Large,High,High,Moderate,Average,Medium,'High Sales'
Men,Winter,Cash,Returning,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Moderate,Medium,High,Moderate,Average,Medium,'High Sales'
Men,All-Season,Cash,Returning,Medium,Large,'Very Low',Low,Moderate,Poor,Medium,'High Sales'
Women,Winter,Cash,Returning,Medium,Moderate,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Cash,Returning,Medium,Small,'Very Low',High,Frequent,Excellent,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Moderate,High,High,Moderate,Average,Medium,'High Sales'
Women,Winter,UPI,New,Medium,Large,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Women,Winter,UPI,New,Medium,Small,High,Medium,Moderate,Average,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'High Sales'
Women,Winter,Card,New,High,Moderate,High,Medium,Moderate,Average,High,'High Sales'
Women,Winter,UPI,Returning,Low,Moderate,High,Low,Moderate,Excellent,Low,'High Sales'
Men,Summer,Cash,New,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Small,High,High,Frequent,Excellent,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,UPI,New,Low,Moderate,Low,Low,Infrequent,Excellent,Low,'High Sales'
Men,Summer,Card,Returning,Medium,Large,'Very Low',Medium,Moderate,Poor,Medium,'High Sales'
Men,All-Season,'Net Banking',New,Medium,Moderate,Low,Medium,Infrequent,Excellent,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Small,High,High,Moderate,Poor,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Moderate,High,Medium,Moderate,Poor,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Small,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Card,Returning,Medium,Large,Medium,Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,Cash,New,High,Moderate,High,Low,Moderate,Average,Medium,'High Sales'
Men,Winter,UPI,Returning,Medium,Moderate,High,Low,Moderate,Poor,Medium,'High Sales'
Women,Winter,Cash,Returning,Medium,Small,Low,High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,Returning,Medium,Small,Low,Low,Infrequent,Average,Medium,'High Sales'
Men,All-Season,Cash,New,Low,Small,High,Medium,Moderate,Poor,Medium,'High Sales'
Women,Summer,Cash,Returning,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Small,Medium,High,Moderate,Average,Medium,'High Sales'
Women,All-Season,Card,Returning,Medium,Large,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Summer,UPI,New,High,Small,Low,Medium,Infrequent,Average,High,'High Sales'
Men,Summer,'Net Banking',Returning,Medium,Small,High,Medium,Moderate,Average,Medium,'High Sales'
Men,Summer,Card,Returning,Medium,Large,Low,Medium,Infrequent,Excellent,Medium,'High Sales'
Men,All-Season,'Net Banking',New,Medium,Moderate,Low,High,Moderate,Poor,Medium,'High Sales'
Men,Winter,Card,Returning,High,Large,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Women,Winter,'Net Banking',New,Medium,Moderate,High,High,Infrequent,Poor,Medium,'High Sales'
Women,Summer,Cash,New,Medium,Small,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,Summer,'Net Banking',New,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,Card,Returning,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Small,Medium,High,Moderate,Excellent,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Large,High,Medium,Frequent,Average,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Small,Medium,Low,Moderate,Excellent,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Moderate,'Very Low',Low,Moderate,Excellent,Medium,'High Sales'
Men,Summer,Card,Returning,Medium,Large,High,Low,Moderate,Poor,Medium,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,'Very Low',Medium,Frequent,Poor,Medium,'High Sales'
Men,Winter,Cash,Returning,Medium,Small,Medium,Low,Moderate,Average,Medium,'High Sales'
Men,Winter,Card,New,Medium,Small,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,UPI,New,Medium,Small,'Very Low',Low,Moderate,Poor,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Moderate,Low,Low,Infrequent,Poor,Low,'High Sales'
Men,Summer,'Net Banking',Returning,Medium,Small,'Very Low',Medium,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,UPI,New,Medium,Moderate,High,High,Infrequent,Poor,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Small,Medium,High,Infrequent,Poor,Medium,'High Sales'
Women,All-Season,Cash,Returning,Low,Moderate,Medium,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Summer,UPI,New,Medium,Large,Medium,Low,Moderate,Average,Medium,'High Sales'
Women,Winter,Cash,Returning,Medium,Small,'Very Low',Low,Moderate,Average,Medium,'High Sales'
Women,All-Season,Cash,Returning,Low,Large,'Very Low',Low,Moderate,Poor,Low,'High Sales'
Men,All-Season,UPI,New,Medium,Small,'Very Low',Low,Frequent,Average,Medium,'High Sales'
Women,Summer,UPI,New,Medium,Moderate,High,High,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,Returning,Low,Large,'Very Low',High,Moderate,Poor,Low,'High Sales'
Men,Winter,Card,Returning,Medium,Small,'Very Low',Medium,Infrequent,Average,Medium,'High Sales'
Women,Summer,UPI,Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Women,Winter,Card,New,Medium,Small,High,Medium,Moderate,Poor,Medium,'High Sales'
Women,Winter,Cash,New,Medium,Small,Low,High,Moderate,Average,Medium,'High Sales'
Women,All-Season,UPI,New,Medium,Moderate,Medium,High,Moderate,Average,Medium,'High Sales'
Men,Summer,Card,Returning,High,Moderate,Low,Low,Moderate,Average,Medium,'High Sales'
Women,All-Season,UPI,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'High Sales'
Men,All-Season,Cash,New,Low,Small,Medium,High,Moderate,Poor,Low,'High Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,Low,Low,Moderate,Poor,Medium,'High Sales'
Men,Summer,Cash,Returning,Medium,Small,Low,Low,Moderate,Poor,Medium,'High Sales'
Men,All-Season,Card,New,Medium,Small,Low,Medium,Moderate,Poor,Low,'High Sales'
Women,Winter,UPI,New,Medium,Small,'Very Low',High,Moderate,Excellent,Medium,'High Sales'
Men,All-Season,Card,Returning,Medium,Moderate,Low,Low,Moderate,Excellent,Medium,'High Sales'
Women,Summer,Card,New,Medium,Moderate,High,Medium,Moderate,Excellent,Medium,'High Sales'
Men,Winter,Cash,New,Medium,Small,Low,Low,Moderate,Poor,Medium,'High Sales'
Women,Summer,'Net Banking',New,Medium,Moderate,Low,Medium,Moderate,Excellent,Medium,'High Sales'
Women,All-Season,Card,New,Medium,Moderate,Medium,High,Infrequent,Average,Medium,'High Sales'
