@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0-weka.filters.unsupervised.attribute.Remove-R4,8-10,12-13,17-18,20'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Cost_Price {Medium,Low,High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Return_Rate {High,Low,Medium}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Outerwear,Nike,'Polo Shirt',XXL,Black,Winter,Medium,Medium,High,Elder,Medium,'High Sales'
Outerwear,'Ralph Lauren','Formal Shirt',M,Green,Winter,Medium,Low,High,Elder,Low,'High Sales'
Outerwear,Puma,Saree,XL,Black,All-Season,High,Medium,Low,Senior,Medium,'High Sales'
Tops,Balenciaga,Kurta,XL,Blue,All-Season,Medium,High,Low,Senior,Medium,'High Sales'
Outerwear,'Forever 21',Leggings,L,Purple,Winter,Medium,Medium,Low,Senior,High,'High Sales'
Tops,Nike,Shorts,XXL,White,Summer,Medium,High,Low,Teen,Low,'High Sales'
Outerwear,Puma,Leggings,XL,Green,Summer,Medium,High,Medium,Elder,High,'High Sales'
Bottoms,Zara,'Track Pants',XL,Black,Summer,Medium,High,Low,Adult,Low,'High Sales'
Tops,Nike,Dress,L,Purple,Summer,Medium,High,Medium,Elder,High,'High Sales'
Athleisure,Gucci,Jeans,L,Blue,Summer,Medium,Medium,High,Elder,Low,'High Sales'
Athleisure,'Ralph Lauren',Hoodie,XL,Purple,All-Season,Medium,High,Medium,Elder,Low,'High Sales'
Tops,'Calvin Klein',Dress,S,Green,Winter,Low,Medium,Low,Elder,High,'High Sales'
Tops,Zara,'Track Pants',XL,Black,Summer,Medium,High,Medium,Teen,Low,'High Sales'
Tops,'Calvin Klein',Jacket,XXL,Red,Summer,Medium,Medium,High,Teen,Low,'High Sales'
Tops,GAP,'Track Pants',S,Yellow,All-Season,Medium,High,Medium,Senior,Medium,'High Sales'
Tops,GAP,Hoodie,XL,Black,Summer,Medium,Medium,Medium,Senior,High,'High Sales'
'Traditional Wear',Wrangler,Jeans,M,Blue,Summer,Medium,High,Low,Teen,Low,'High Sales'
'Traditional Wear',Gucci,Blazer,XXL,Orange,Winter,Low,Medium,Low,Elder,High,'High Sales'
Outerwear,'Louis Vuitton','Casual Shirt',XL,Red,Summer,Medium,High,High,Teen,Low,'High Sales'
Bottoms,H&M,Trousers,XXL,Pink,All-Season,Medium,Medium,Low,Adult,Medium,'High Sales'
Tops,Wrangler,'Formal Shirt',XL,Pink,Winter,Medium,Medium,High,Senior,Low,'High Sales'
Tops,Reebok,Sweatshirt,M,Pink,All-Season,Medium,Medium,Low,Teen,Low,'High Sales'
Bottoms,Diesel,Hoodie,S,Blue,Winter,Medium,High,Medium,Senior,Medium,'High Sales'
Bottoms,'Calvin Klein',Kurta,L,Green,Summer,Medium,High,Medium,Teen,Low,'High Sales'
Outerwear,Levi’s,Kurta,M,Red,Summer,Medium,Medium,High,Adult,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Skirt,XXL,Yellow,Summer,Medium,Medium,Medium,Adult,Low,'High Sales'
Tops,'Calvin Klein',Skirt,L,Orange,Summer,Medium,High,Medium,Teen,Low,'High Sales'
Bottoms,Gucci,Jumpsuit,M,Yellow,Winter,Medium,High,Low,Elder,High,'High Sales'
Tops,'Forever 21','Formal Shirt',M,Red,Summer,Medium,Medium,Medium,Teen,High,'High Sales'
Outerwear,Nike,Sweatshirt,XL,Red,All-Season,Medium,High,Low,Adult,Low,'High Sales'
Outerwear,Nike,Blazer,XXL,Blue,All-Season,Medium,High,Low,Elder,High,'High Sales'
Athleisure,Zara,Palazzo,L,Blue,Winter,Medium,High,High,Elder,High,'High Sales'
Bottoms,Puma,Shorts,XL,Pink,Summer,Medium,High,Medium,Elder,High,'High Sales'
Bottoms,Uniqlo,'Formal Shirt',XL,Orange,Summer,Medium,Medium,Medium,Teen,Medium,'High Sales'
'Traditional Wear',Diesel,Blazer,XL,Orange,Summer,Medium,Medium,High,Teen,Medium,'High Sales'
Bottoms,Versace,'Casual Shirt',L,Blue,Summer,Medium,Medium,Medium,Senior,High,'High Sales'
Bottoms,Gucci,Skirt,M,Black,Summer,Medium,High,Medium,Senior,Medium,'High Sales'
Athleisure,Puma,'Track Pants',L,Orange,Summer,Medium,Medium,Low,Elder,High,'High Sales'
Outerwear,'Forever 21','Casual Shirt',XL,Black,All-Season,Medium,Medium,High,Teen,High,'High Sales'
Bottoms,Levi’s,Sweatshirt,XL,Orange,Summer,Medium,High,Low,Teen,Medium,'High Sales'
Bottoms,'Under Armour',Dress,M,White,Summer,Medium,Medium,Medium,Elder,Medium,'High Sales'
'Traditional Wear',Nike,'Formal Shirt',S,Red,Winter,Medium,High,High,Senior,High,'High Sales'
Bottoms,Puma,Jeans,XL,Black,Winter,Medium,Medium,Medium,Adult,Medium,'High Sales'
Outerwear,Uniqlo,Skirt,XL,Green,Winter,Low,Medium,High,Elder,Low,'High Sales'
Athleisure,Levi’s,'Formal Shirt',L,Black,Winter,Medium,High,Medium,Elder,Medium,'High Sales'
'Traditional Wear',Levi’s,Skirt,M,Blue,All-Season,Medium,Medium,Medium,Teen,High,'High Sales'
Tops,Wrangler,Kurta,XXL,Pink,Winter,Medium,High,Low,Teen,Medium,'High Sales'
Bottoms,Nike,Leggings,M,Red,All-Season,Medium,High,Medium,Elder,Medium,'High Sales'
Outerwear,'Louis Vuitton',Sweatshirt,XXL,Pink,All-Season,Low,High,Low,Elder,Medium,'High Sales'
Athleisure,H&M,Sweatshirt,XL,Green,Summer,Medium,High,Low,Elder,High,'High Sales'
'Traditional Wear','Ralph Lauren',T-Shirt,S,Black,All-Season,Low,High,High,Teen,Medium,'High Sales'
Bottoms,Reebok,Kurta,XXL,Red,Summer,Medium,Medium,Medium,Senior,Low,'High Sales'
Athleisure,Nike,Kurta,S,Black,Summer,Low,High,Low,Senior,Low,'High Sales'
Athleisure,Wrangler,'Formal Shirt',S,Green,All-Season,Medium,High,Medium,Adult,Medium,'High Sales'
Outerwear,'Under Armour',T-Shirt,XXL,White,Winter,High,High,Medium,Senior,Medium,'High Sales'
'Traditional Wear',H&M,Sweatshirt,S,Blue,All-Season,Medium,Medium,High,Teen,Low,'High Sales'
Athleisure,Adidas,T-Shirt,XXL,Black,Summer,Low,High,High,Elder,Medium,'High Sales'
'Traditional Wear',Puma,Kurta,S,Red,Summer,Medium,High,Low,Adult,Medium,'High Sales'
Athleisure,Wrangler,Blazer,XL,Red,All-Season,Low,High,Low,Adult,Medium,'High Sales'
'Traditional Wear','Forever 21',Leggings,S,Pink,All-Season,Medium,High,Medium,Senior,High,'High Sales'
Athleisure,Puma,'Formal Shirt',M,Pink,All-Season,High,Medium,Low,Elder,Medium,'High Sales'
Outerwear,Uniqlo,Saree,L,Purple,Winter,Medium,Medium,Low,Elder,Medium,'High Sales'
Bottoms,'Ralph Lauren',Hoodie,XL,Orange,Winter,Medium,Medium,Low,Elder,High,'High Sales'
Tops,Versace,Palazzo,XL,Red,All-Season,Medium,High,High,Adult,Medium,'High Sales'
'Traditional Wear',Zara,Jumpsuit,S,Blue,Summer,Medium,Medium,High,Adult,High,'High Sales'
'Traditional Wear',Wrangler,Saree,M,White,Winter,Medium,Medium,Low,Elder,Low,'High Sales'
'Traditional Wear','Louis Vuitton',Tops,S,White,All-Season,Medium,High,High,Senior,Low,'High Sales'
'Traditional Wear',Wrangler,T-Shirt,XL,Orange,All-Season,Medium,Medium,Low,Adult,Low,'High Sales'
Athleisure,Wrangler,Jeans,L,Red,Winter,Medium,Medium,Low,Adult,Low,'High Sales'
Athleisure,'Tommy Hilfiger',Kurta,L,Purple,Winter,Medium,Medium,Medium,Teen,High,'High Sales'
Athleisure,Nike,Leggings,XL,Black,Winter,Low,High,High,Elder,Low,'High Sales'
'Traditional Wear',Reebok,Tops,XXL,Green,Winter,Low,High,Medium,Adult,Medium,'High Sales'
Athleisure,GAP,'Formal Shirt',XXL,Black,Summer,Medium,Medium,Medium,Adult,Medium,'High Sales'
Outerwear,Reebok,Tops,L,Pink,Winter,Medium,Medium,High,Senior,Low,'High Sales'
'Traditional Wear',Reebok,Jumpsuit,XL,Pink,Winter,Medium,High,Medium,Teen,Medium,'High Sales'
Bottoms,Reebok,Skirt,L,Blue,All-Season,Medium,High,Medium,Elder,High,'High Sales'
Bottoms,Gucci,Sweatshirt,XL,Black,Summer,Medium,Medium,High,Senior,High,'High Sales'
Athleisure,Levi’s,Trousers,L,White,All-Season,Medium,High,Medium,Adult,High,'High Sales'
Athleisure,Adidas,Trousers,XXL,Blue,All-Season,Medium,High,High,Teen,Medium,'High Sales'
'Traditional Wear','Calvin Klein','Polo Shirt',S,Blue,All-Season,Medium,High,High,Elder,Medium,'High Sales'
Bottoms,'Tommy Hilfiger',Jeans,L,Yellow,All-Season,Medium,High,Low,Elder,Medium,'High Sales'
Bottoms,'Louis Vuitton','Polo Shirt',XXL,Blue,Winter,Medium,Medium,Low,Senior,Low,'High Sales'
'Traditional Wear','Louis Vuitton',Hoodie,S,Blue,All-Season,Medium,High,High,Elder,High,'High Sales'
Tops,H&M,Leggings,S,Orange,Winter,Medium,Medium,High,Adult,High,'High Sales'
Tops,Wrangler,Kurta,XXL,Black,All-Season,Medium,Medium,High,Senior,Medium,'High Sales'
Outerwear,H&M,Hoodie,S,Green,All-Season,Medium,Medium,High,Senior,Low,'High Sales'
Outerwear,Adidas,'Track Pants',S,Green,All-Season,Medium,High,High,Elder,Low,'High Sales'
Tops,'Under Armour',T-Shirt,S,Pink,All-Season,Medium,High,Medium,Adult,Medium,'High Sales'
'Traditional Wear',Wrangler,Jumpsuit,XL,Black,Winter,High,Medium,Medium,Senior,Low,'High Sales'
'Traditional Wear',Zara,Jeans,XL,Blue,All-Season,Medium,High,Medium,Teen,Low,'High Sales'
'Traditional Wear',Wrangler,Skirt,XL,Pink,Summer,High,Medium,Medium,Elder,Low,'High Sales'
Outerwear,Reebok,Tops,L,Black,All-Season,Medium,High,Low,Teen,Low,'High Sales'
'Traditional Wear',Nike,Jeans,XL,Red,Summer,Low,Medium,Low,Teen,Medium,'High Sales'
Athleisure,Levi’s,Saree,L,Pink,All-Season,Medium,Medium,High,Senior,Medium,'High Sales'
Athleisure,'Under Armour','Polo Shirt',M,Purple,All-Season,Medium,Medium,Medium,Senior,High,'High Sales'
'Traditional Wear',Zara,'Track Pants',M,Blue,Winter,Medium,High,Low,Elder,Medium,'High Sales'
Outerwear,GAP,T-Shirt,S,Blue,Summer,Medium,Medium,Medium,Senior,Medium,'High Sales'
Athleisure,Gucci,Skirt,XXL,White,Winter,Medium,High,High,Senior,Medium,'High Sales'
Athleisure,Wrangler,Kurta,L,Black,Winter,Medium,Medium,Medium,Elder,High,'High Sales'
Tops,'Ralph Lauren',Jeans,XXL,Purple,All-Season,High,High,Low,Senior,Low,'High Sales'
'Traditional Wear',Versace,Tops,L,Black,Winter,Medium,Medium,High,Elder,Medium,'High Sales'
Bottoms,'Forever 21','Polo Shirt',XXL,Green,Summer,Medium,Medium,Low,Elder,High,'High Sales'
Outerwear,'Ralph Lauren',Palazzo,S,Black,Summer,Medium,Medium,Low,Senior,Low,'High Sales'
Bottoms,'Ralph Lauren',Dress,S,White,Winter,Medium,High,High,Teen,Low,'High Sales'
Bottoms,Zara,'Casual Shirt',L,Orange,Summer,Low,High,Medium,Elder,Low,'High Sales'
Tops,GAP,Skirt,L,Pink,Summer,Medium,Medium,Medium,Senior,High,'High Sales'
Tops,GAP,'Polo Shirt',M,White,Summer,Medium,High,Low,Elder,Low,'High Sales'
'Traditional Wear',Adidas,Sweatshirt,M,Pink,Summer,Medium,High,High,Senior,Low,'High Sales'
Tops,Levi’s,'Casual Shirt',XL,White,All-Season,Medium,Medium,Low,Senior,Low,'High Sales'
Athleisure,Versace,'Formal Shirt',M,Yellow,Winter,Low,High,Medium,Senior,Medium,'High Sales'
Tops,'Calvin Klein',Saree,XL,White,All-Season,Medium,Medium,Low,Adult,Medium,'High Sales'
Tops,'Calvin Klein',Palazzo,XXL,Orange,Summer,Low,High,Low,Senior,High,'High Sales'
Tops,Zara,Palazzo,XL,Pink,Winter,Medium,Medium,Medium,Elder,Low,'High Sales'
'Traditional Wear',Puma,Saree,XXL,Green,Summer,Medium,Medium,Medium,Senior,Medium,'High Sales'
Bottoms,Zara,Blazer,M,Purple,Winter,Medium,Medium,Medium,Senior,High,'High Sales'
Tops,Balenciaga,'Casual Shirt',S,Blue,Winter,Medium,Medium,Medium,Senior,High,'High Sales'
Athleisure,Versace,Blazer,M,Blue,All-Season,Medium,Medium,High,Senior,High,'High Sales'
Athleisure,'Calvin Klein',Dress,XL,Blue,Summer,Medium,Medium,High,Senior,Low,'High Sales'
'Traditional Wear',Reebok,'Track Pants',M,Yellow,All-Season,Low,High,Low,Elder,High,'High Sales'
'Traditional Wear',Uniqlo,Shorts,M,Purple,All-Season,Medium,Medium,Medium,Adult,Low,'High Sales'
Tops,'Louis Vuitton',Saree,L,White,All-Season,Medium,Medium,High,Senior,Medium,'High Sales'
Bottoms,GAP,Leggings,M,Yellow,Summer,Medium,High,Medium,Teen,High,'High Sales'
Tops,Nike,Hoodie,XL,Orange,All-Season,High,High,Medium,Teen,Medium,'High Sales'
Tops,'Calvin Klein','Formal Shirt',M,Black,All-Season,Medium,Medium,Medium,Adult,Medium,'High Sales'
Tops,GAP,'Polo Shirt',XXL,Purple,All-Season,Medium,Medium,Low,Elder,High,'High Sales'
Tops,Nike,Jumpsuit,XL,Yellow,All-Season,Medium,Medium,High,Adult,High,'High Sales'
Bottoms,Puma,'Polo Shirt',XXL,Yellow,All-Season,Medium,Medium,High,Senior,High,'High Sales'
Tops,Adidas,T-Shirt,M,Yellow,Summer,Medium,High,Medium,Adult,Medium,'High Sales'
'Traditional Wear',Gucci,Jacket,XXL,Blue,Summer,Medium,High,Low,Teen,Medium,'High Sales'
Tops,Adidas,Saree,XL,Black,Summer,Medium,Medium,Medium,Senior,Medium,'High Sales'
'Traditional Wear',Zara,Tops,XXL,White,All-Season,Medium,Medium,Medium,Adult,High,'High Sales'
Outerwear,'Calvin Klein',Jumpsuit,M,Pink,Summer,Medium,'Very High',Low,Adult,Medium,'High Sales'
Tops,'Under Armour',Tops,XXL,Green,Summer,Low,High,Low,Senior,High,'High Sales'
Outerwear,'Calvin Klein',Jeans,S,Orange,Summer,Medium,Medium,Low,Elder,Medium,'High Sales'
Tops,Zara,Tops,XXL,Yellow,Winter,Medium,High,Medium,Adult,High,'High Sales'
Outerwear,'Tommy Hilfiger','Casual Shirt',M,Green,Winter,Medium,Medium,Medium,Adult,High,'High Sales'
Bottoms,Reebok,Sweatshirt,XXL,White,Winter,Low,High,High,Senior,Low,'High Sales'
Bottoms,'Under Armour',Trousers,S,Yellow,All-Season,Medium,High,High,Elder,High,'High Sales'
Bottoms,Puma,Tops,L,Purple,Winter,Medium,High,High,Adult,High,'High Sales'
Athleisure,'Louis Vuitton',Jacket,M,Black,Winter,Medium,Medium,Medium,Senior,Low,'High Sales'
Athleisure,'Louis Vuitton',Palazzo,S,Green,Summer,Medium,Medium,Medium,Adult,Low,'High Sales'
Outerwear,Versace,Tops,M,Red,All-Season,Medium,Medium,High,Senior,Medium,'High Sales'
Athleisure,Gucci,'Casual Shirt',S,Blue,Winter,Medium,High,Medium,Teen,Low,'High Sales'
Athleisure,'Tommy Hilfiger',Dress,S,Black,All-Season,Medium,Medium,Low,Adult,Low,'High Sales'
'Traditional Wear',Versace,Trousers,S,Yellow,Winter,Medium,High,Low,Adult,Low,'High Sales'
Athleisure,Nike,Leggings,XL,Purple,Summer,Medium,Medium,Medium,Elder,Medium,'High Sales'
Tops,'Forever 21',Tops,M,Blue,All-Season,Low,High,High,Adult,High,'High Sales'
Tops,Uniqlo,Shorts,L,Pink,All-Season,Medium,Medium,Medium,Teen,Low,'High Sales'
Outerwear,'Tommy Hilfiger',Kurta,S,Pink,Summer,Medium,Medium,Medium,Teen,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Trousers,S,White,Winter,Medium,Medium,High,Senior,Low,'High Sales'
Bottoms,Wrangler,T-Shirt,L,Green,All-Season,Medium,Medium,Low,Senior,High,'High Sales'
Athleisure,Puma,Blazer,S,Purple,Summer,Medium,High,Medium,Adult,Medium,'High Sales'
Tops,Puma,Leggings,L,Yellow,Winter,Medium,High,High,Senior,Medium,'High Sales'
Tops,Levi’s,Blazer,S,Red,All-Season,Medium,Medium,Low,Senior,Medium,'High Sales'
Athleisure,Wrangler,Sweatshirt,XXL,White,Summer,Medium,High,High,Adult,Medium,'High Sales'
Bottoms,Adidas,'Formal Shirt',XXL,Green,Summer,Low,Medium,High,Senior,Medium,'High Sales'
Outerwear,Nike,Jeans,XL,White,All-Season,Medium,Medium,Low,Adult,Low,'High Sales'
Athleisure,'Ralph Lauren',Jumpsuit,L,Yellow,All-Season,High,Medium,Low,Adult,Medium,'High Sales'
Outerwear,Nike,Shorts,L,Red,All-Season,Medium,High,High,Elder,High,'High Sales'
Bottoms,Gucci,Jacket,XXL,Blue,Winter,Medium,Medium,Medium,Teen,Medium,'High Sales'
'Traditional Wear','Tommy Hilfiger',Shorts,XL,Pink,Winter,High,Medium,Medium,Senior,Low,'High Sales'
Outerwear,Zara,Hoodie,S,Black,All-Season,High,High,High,Senior,Medium,'High Sales'
Athleisure,Wrangler,Hoodie,L,Black,All-Season,Medium,Medium,High,Senior,High,'High Sales'
'Traditional Wear','Louis Vuitton',Jeans,XXL,Orange,Winter,Medium,Medium,Medium,Teen,Medium,'High Sales'
'Traditional Wear',Wrangler,Blazer,M,Red,Winter,Medium,High,High,Senior,Low,'High Sales'
Bottoms,Puma,'Polo Shirt',L,Black,Summer,Medium,High,Medium,Senior,Medium,'High Sales'
Tops,Reebok,Dress,S,Red,Winter,Low,Medium,Low,Elder,Low,'High Sales'
Athleisure,Levi’s,Tops,XXL,Yellow,Winter,Medium,High,Low,Elder,Low,'High Sales'
Tops,'Calvin Klein',Jumpsuit,S,White,All-Season,Medium,High,High,Elder,Medium,'High Sales'
Bottoms,Puma,Palazzo,XL,White,Winter,Medium,Medium,High,Senior,Medium,'High Sales'
Athleisure,Wrangler,Dress,XL,Pink,Winter,Medium,Medium,High,Senior,Medium,'High Sales'
'Traditional Wear','Louis Vuitton','Formal Shirt',S,Pink,All-Season,Medium,Medium,Low,Senior,Medium,'High Sales'
'Traditional Wear',Uniqlo,Hoodie,S,Blue,Winter,Medium,Medium,Medium,Elder,Medium,'High Sales'
Outerwear,Reebok,Jumpsuit,L,Green,Winter,Medium,High,High,Teen,High,'High Sales'
Outerwear,Levi’s,Saree,S,Red,Summer,Medium,High,High,Elder,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',T-Shirt,XXL,Pink,Winter,Medium,High,Medium,Senior,High,'High Sales'
Tops,'Ralph Lauren',Blazer,XL,Orange,All-Season,Medium,Medium,Medium,Elder,Medium,'High Sales'
'Traditional Wear','Forever 21',Leggings,L,Red,Winter,Medium,High,Medium,Teen,Low,'High Sales'
Outerwear,Adidas,Blazer,M,Pink,All-Season,Medium,Medium,High,Elder,Medium,'High Sales'
Athleisure,Uniqlo,Jacket,XXL,White,Winter,Low,High,Medium,Teen,Medium,'High Sales'
Athleisure,Reebok,Leggings,XL,Black,Winter,Medium,High,Low,Teen,Medium,'High Sales'
Bottoms,Levi’s,T-Shirt,M,Red,Summer,Medium,Medium,High,Senior,Low,'High Sales'
Athleisure,'Under Armour',Jacket,XL,Pink,All-Season,Medium,Medium,High,Senior,Medium,'High Sales'
Outerwear,Zara,Palazzo,M,White,Winter,Medium,Medium,Medium,Teen,Medium,'High Sales'
Bottoms,Wrangler,Trousers,M,Purple,Winter,Medium,Medium,Low,Elder,Medium,'High Sales'
'Traditional Wear','Tommy Hilfiger','Track Pants',L,Pink,Summer,Medium,High,Medium,Senior,Medium,'High Sales'
Bottoms,H&M,'Track Pants',XL,Yellow,All-Season,Medium,Medium,Medium,Senior,Low,'High Sales'
'Traditional Wear',Reebok,'Casual Shirt',S,Black,All-Season,Medium,Medium,High,Teen,Medium,'High Sales'
Tops,Versace,Blazer,L,Pink,Summer,Medium,Medium,Medium,Senior,High,'High Sales'
Bottoms,GAP,Leggings,L,White,Summer,Medium,Medium,Medium,Adult,High,'High Sales'
'Traditional Wear',H&M,Saree,XL,Black,Winter,Low,High,Medium,Senior,High,'High Sales'
Bottoms,Uniqlo,Kurta,S,Green,Winter,Medium,High,Low,Teen,Low,'High Sales'
Athleisure,Uniqlo,Skirt,S,Pink,Winter,Medium,High,Low,Senior,High,'High Sales'
Bottoms,'Ralph Lauren',Dress,S,White,Winter,Medium,High,High,Teen,Low,'High Sales'
Bottoms,'Ralph Lauren',Kurta,L,Blue,All-Season,Medium,Medium,Low,Teen,High,'High Sales'
Tops,Levi’s,Sweatshirt,S,Purple,All-Season,Medium,Medium,Medium,Elder,High,'High Sales'
'Traditional Wear',GAP,Tops,XL,Black,Summer,Medium,Medium,High,Adult,Medium,'High Sales'
Athleisure,'Louis Vuitton','Formal Shirt',XXL,Red,Winter,Medium,High,High,Elder,Medium,'High Sales'
Bottoms,'Forever 21',Jacket,L,Yellow,All-Season,Medium,High,High,Teen,Low,'High Sales'
Outerwear,Wrangler,'Casual Shirt',M,White,Summer,Medium,Medium,Medium,Adult,Low,'High Sales'
Bottoms,Uniqlo,'Polo Shirt',XL,Purple,Summer,Medium,High,Medium,Elder,Low,'High Sales'
'Traditional Wear',Puma,T-Shirt,XL,Yellow,Summer,Medium,Low,Medium,Adult,Medium,'High Sales'
'Traditional Wear',Adidas,Jumpsuit,XL,Red,All-Season,Medium,High,High,Elder,Low,'High Sales'
Bottoms,GAP,Hoodie,M,White,Winter,Medium,Medium,Medium,Teen,High,'High Sales'
Bottoms,'Louis Vuitton',Skirt,XL,Green,Winter,Medium,Medium,High,Adult,Medium,'High Sales'
Bottoms,'Tommy Hilfiger',Saree,M,White,Summer,Medium,Medium,Medium,Adult,Low,'High Sales'
Bottoms,'Ralph Lauren',Shorts,XXL,Black,Summer,Low,Medium,Medium,Senior,Low,'High Sales'
Athleisure,Wrangler,T-Shirt,L,Yellow,Winter,Medium,Medium,High,Adult,Medium,'High Sales'
Athleisure,Reebok,Hoodie,XL,Yellow,All-Season,Medium,Medium,High,Senior,High,'High Sales'
Tops,'Under Armour',Leggings,XL,Black,Winter,Medium,High,Medium,Senior,High,'High Sales'
Outerwear,Levi’s,Saree,S,Yellow,Winter,High,Medium,Low,Senior,Low,'High Sales'
Tops,GAP,Tops,S,Blue,Summer,High,High,Low,Teen,Low,'High Sales'
'Traditional Wear','Tommy Hilfiger',Sweatshirt,S,Blue,Summer,Medium,High,Low,Teen,Medium,'High Sales'
'Traditional Wear',H&M,Blazer,XXL,Orange,Winter,Medium,High,Medium,Senior,Low,'High Sales'
Athleisure,H&M,'Formal Shirt',XL,Orange,Winter,Medium,Medium,Low,Senior,High,'High Sales'
Outerwear,'Forever 21',Leggings,XXL,Green,Winter,Medium,Medium,Medium,Senior,High,'High Sales'
